game_id	schedule_date	schedule_season	team_home	score_home	score_away	team_away	winning_team
9-9-2021-buccaneers	9/9/2021	2021	buccaneers	31	29	cowboys	buccaneers
9-12-2021-falcons	9/12/2021	2021	falcons	6	32	eagles	eagles
9-12-2021-bills	9/12/2021	2021	bills	16	23	steelers	steelers
9-12-2021-panthers	9/12/2021	2021	panthers	19	14	jets	panthers
9-12-2021-bengals	9/12/2021	2021	bengals	27	24	vikings	bengals
9-12-2021-lions	9/12/2021	2021	lions	33	41	49ers	49ers
9-12-2021-texans	9/12/2021	2021	texans	37	21	jaguars	texans
9-12-2021-colts	9/12/2021	2021	colts	16	28	seahawks	seahawks
9-12-2021-chiefs	9/12/2021	2021	chiefs	33	29	browns	chiefs
9-12-2021-rams	9/12/2021	2021	rams	34	14	bears	rams
9-12-2021-patriots	9/12/2021	2021	patriots	16	17	dolphins	dolphins
9-12-2021-saints	9/12/2021	2021	saints	38	3	packers	saints
9-12-2021-giants	9/12/2021	2021	giants	13	27	broncos	broncos
9-12-2021-titans	9/12/2021	2021	titans	13	38	cardinals	cardinals
9-12-2021-commanders	9/12/2021	2021	commanders	16	20	chargers	chargers
9-13-2021-raiders	9/13/2021	2021	raiders	33	27	ravens	raiders
9-16-2021-commanders	9/16/2021	2021	commanders	30	29	giants	commanders
9-19-2021-cardinals	9/19/2021	2021	cardinals	34	33	vikings	cardinals
9-19-2021-ravens	9/19/2021	2021	ravens	36	35	chiefs	ravens
9-19-2021-panthers	9/19/2021	2021	panthers	26	7	saints	panthers
9-19-2021-bears	9/19/2021	2021	bears	20	17	bengals	bears
9-19-2021-browns	9/19/2021	2021	browns	31	21	texans	browns
9-19-2021-colts	9/19/2021	2021	colts	24	27	rams	rams
9-19-2021-jaguars	9/19/2021	2021	jaguars	13	23	broncos	broncos
9-19-2021-chargers	9/19/2021	2021	chargers	17	20	cowboys	cowboys
9-19-2021-dolphins	9/19/2021	2021	dolphins	0	35	bills	bills
9-19-2021-jets	9/19/2021	2021	jets	6	25	patriots	patriots
9-19-2021-eagles	9/19/2021	2021	eagles	11	17	49ers	49ers
9-19-2021-steelers	9/19/2021	2021	steelers	17	26	raiders	raiders
9-19-2021-seahawks	9/19/2021	2021	seahawks	30	33	titans	titans
9-19-2021-buccaneers	9/19/2021	2021	buccaneers	48	25	falcons	buccaneers
9-20-2021-packers	9/20/2021	2021	packers	35	17	lions	packers
9-23-2021-texans	9/23/2021	2021	texans	9	24	panthers	panthers
9-26-2021-bills	9/26/2021	2021	bills	43	21	commanders	bills
9-26-2021-browns	9/26/2021	2021	browns	26	6	bears	browns
9-26-2021-broncos	9/26/2021	2021	broncos	26	0	jets	broncos
9-26-2021-lions	9/26/2021	2021	lions	17	19	ravens	ravens
9-26-2021-jaguars	9/26/2021	2021	jaguars	19	31	cardinals	cardinals
9-26-2021-chiefs	9/26/2021	2021	chiefs	24	30	chargers	chargers
9-26-2021-raiders	9/26/2021	2021	raiders	31	28	dolphins	raiders
9-26-2021-rams	9/26/2021	2021	rams	34	24	buccaneers	rams
9-26-2021-vikings	9/26/2021	2021	vikings	30	17	seahawks	vikings
9-26-2021-patriots	9/26/2021	2021	patriots	13	28	saints	saints
9-26-2021-giants	9/26/2021	2021	giants	14	17	falcons	falcons
9-26-2021-steelers	9/26/2021	2021	steelers	10	24	bengals	bengals
9-26-2021-49ers	9/26/2021	2021	49ers	28	30	packers	packers
9-26-2021-titans	9/26/2021	2021	titans	25	16	colts	titans
9-27-2021-cowboys	9/27/2021	2021	cowboys	41	21	eagles	cowboys
9-30-2021-bengals	9/30/2021	2021	bengals	24	21	jaguars	bengals
10-3-2021-falcons	10/3/2021	2021	falcons	30	34	commanders	commanders
10-3-2021-bills	10/3/2021	2021	bills	40	0	texans	bills
10-3-2021-bears	10/3/2021	2021	bears	24	14	lions	bears
10-3-2021-cowboys	10/3/2021	2021	cowboys	36	28	panthers	cowboys
10-3-2021-broncos	10/3/2021	2021	broncos	7	23	ravens	ravens
10-3-2021-packers	10/3/2021	2021	packers	27	17	steelers	packers
10-3-2021-rams	10/3/2021	2021	rams	20	37	cardinals	cardinals
10-3-2021-dolphins	10/3/2021	2021	dolphins	17	27	colts	colts
10-3-2021-vikings	10/3/2021	2021	vikings	7	14	browns	browns
10-3-2021-patriots	10/3/2021	2021	patriots	17	19	buccaneers	buccaneers
